outlet,party,Positive_Count,Neutral_Count,Negative_Count,Total_Articles_Mentioning,Positive_Proportion,Neutral_Proportion,Negative_Proportion
HindusanTimes,AAP,5,0,0,5,1.0,0.0,0.0
HindusanTimes,BJP,6,0,0,6,1.0,0.0,0.0
HindusanTimes,Congress,5,0,0,5,1.0,0.0,0.0
IndianExpress,AAP,16,0,3,19,0.8421052631578947,0.0,0.15789473684210525
IndianExpress,BJP,17,0,2,19,0.8947368421052632,0.0,0.10526315789473684
IndianExpress,Congress,15,0,2,17,0.8823529411764706,0.0,0.11764705882352941
Mint,AAP,2,0,0,2,1.0,0.0,0.0
Mint,BJP,2,0,0,2,1.0,0.0,0.0
NDTV,AAP,11,0,0,11,1.0,0.0,0.0
NDTV,BJP,11,0,0,11,1.0,0.0,0.0
NDTV,Congress,8,0,0,8,1.0,0.0,0.0
NewsLaundry,AAP,12,0,4,16,0.75,0.0,0.25
NewsLaundry,BJP,12,0,4,16,0.75,0.0,0.25
NewsLaundry,Congress,8,0,4,12,0.6666666666666666,0.0,0.3333333333333333
Republic,AAP,1,0,0,1,1.0,0.0,0.0
Republic,BJP,2,0,0,2,1.0,0.0,0.0
Republic,Congress,1,0,0,1,1.0,0.0,0.0
TheHindu,AAP,4,0,0,4,1.0,0.0,0.0
TheHindu,BJP,5,0,0,5,1.0,0.0,0.0
TheHindu,Congress,4,0,0,4,1.0,0.0,0.0
TimesOfIndia,AAP,4,0,2,6,0.6666666666666666,0.0,0.3333333333333333
TimesOfIndia,BJP,4,0,1,5,0.8,0.0,0.2
TimesOfIndia,Congress,2,0,0,2,1.0,0.0,0.0
